timestamp,commit,benchmark,median,unit
2026-03-26T15:45:38Z,cd9aad1,envelope_new,207.71,ns
2026-03-26T15:45:38Z,cd9aad1,matches_pattern exact,60.088,ns
2026-03-26T15:45:38Z,cd9aad1,pubsub_publish_no_match,790.12,ns
